male;female;word;category;p_w;p_male_w;p_female_w;PMI_male;PMI_female
528;1;soldat;O;0.002660350220773865;0.002655321203343291;5.029017430574414e-6;0.0397991836224574;-0.3867673101230709
392;8;leistet;O;0.002011606972229766;0.0019713748327851704;4.023213944459531e-5;0.03495667114730124;-0.233153110120336
243;2;geriet;O;0.0012321092704907315;0.0012220512356295827;1.0058034861148828e-5;0.03425439051037196;-0.2829369178031741
887;48;weltkrieg;O;0.004702131297587077;0.004460738460919505;2.413928366675719e-4;0.034226166866728705;-0.17013019715837238
528;20;teil;O;0.002755901551954779;0.002655321203343291;0.00010058034861148829;0.033849811377481734;-0.19101701396637524
179;1;wehrmacht;O;9.052231375033946e-4;9.001941200728202e-4;5.029017430574414e-6;0.03313573626498473;-0.29840613672664185
200;2;kriegsgefangenschaft;O;0.0010158615209760317;0.001005803486114883;1.0058034861148828e-5;0.03303381072624898;-0.2661655450696229
237;4;entlass;O;0.001211993200768434;0.0011918771310461362;2.0116069722297656e-5;0.03285865159602304;-0.23545292197561138
178;2;gefangenschaft;O;9.052231375033946e-4;8.951651026422458e-4;1.0058034861148828e-5;0.032311074521787005;-0.2561447354683811
129;1;landwirt;O;6.537722659746739e-4;6.487432485440995e-4;5.029017430574414e-6;0.03136399949222517;-0.2717327946283852
113;2;redakteur;O;5.783370045160576e-4;5.682789696549089e-4;1.0058034861148828e-5;0.029493824363778672;-0.2172102329741703
103;2;mitbegrund;O;5.280468302103135e-4;5.179887953491647e-4;1.0058034861148828e-5;0.028909608875055105;-0.2093045511058209
96;2;professor;O;4.928437081962926e-4;4.827856733351438e-4;1.0058034861148828e-5;0.028461385395948113;-0.2033088928487482
147;5;mitgliedsnumm;O;7.64410649447311e-4;7.392655622944389e-4;2.514508715287207e-5;0.02836406099213661;-0.17582406492376135
109;3;reserv;O;5.632499522243344e-4;5.481628999326112e-4;1.5087052291723243e-5;0.028072899740735586;-0.18623947977588798
258;14;kriegsend;O;0.0013678927411162408;0.001297486497088199;7.04062440280418e-5;0.027846710550651098;-0.14793371615263293
66;1;notar;O;3.3694416784848575e-4;3.3191515041791137e-4;5.029017430574414e-6;0.027826868001576095;-0.2174027703479176
189;9;nsdap;O;9.95745451253734e-4;9.504842943785643e-4;4.526115687516973e-5;0.027509889755333687;-0.15382548804216592
280;17;bayer;O;0.001493618176880601;0.001408124880560836;8.549329631976505e-5;0.027264674215000166;-0.13965965609234599
444;33;volksschul;O;0.0023988413143839955;0.00223288373917504;1.6595757520895569e-4;0.027235281800880105;-0.1285294987195185
79;2;oberrealschul;O;4.073504118765276e-4;3.9729237701537876e-4;1.0058034861148828e-5;0.027193430604847836;-0.18675235972026266
75;2;heimatvertrieb;O;3.872343421542299e-4;3.7717630729308107e-4;1.0058034861148828e-5;0.026847237574314415;-0.1823512888806299
161;8;bundeswehr;O;8.49903945767076e-4;8.096718063224807e-4;4.023213944459531e-5;0.026612931031161823;-0.1480252493685927
133;6;jur;O;6.990334228498436e-4;6.688593182663971e-4;3.0174104583446486e-5;0.026515119678155945;-0.15279759445608457
133;6;fungiert;O;6.990334228498436e-4;6.688593182663971e-4;3.0174104583446486e-5;0.026515119678155945;-0.15279759445608457
71;2;kriegsdien;O;3.6711827243193226e-4;3.5706023757078344e-4;1.0058034861148828e-5;0.026477641815268575;-0.17771538573869702
88;3;sowjet;O;4.576405861822717e-4;4.4255353389054846e-4;1.5087052291723243e-5;0.02646993511825111;-0.16753605077974001
50;1;prokurist;O;2.564798889592951e-4;2.5145087152872073e-4;5.029017430574414e-6;0.026319872901940412;-0.1950371480890964
49;1;beamt;O;2.5145087152872073e-4;2.464218540981463e-4;5.029017430574414e-6;0.026207720700684275;-0.1934140199589805
